"gender","party","ideol"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","VL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","SL"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","M"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","SC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","D","VC"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","VL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","SL"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","M"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
