id,female,ses,schtyp,prog,read,write,math,science,socst,honors,awards,cid
1,female,low,public,vocation,34,44,40,39,41,not enrolled,0,1
2,female,middle,public,vocation,39,41,33,42,41,not enrolled,0,1
3,male,low,public,academic,63,65,48,63,56,enrolled,5,16
4,female,low,public,academic,44,50,41,39,51,not enrolled,1,3
5,male,low,public,academic,47,40,43,45,31,not enrolled,0,4
6,female,low,public,academic,47,41,46,40,41,not enrolled,0,3
7,male,middle,public,academic,57,54,59,47,51,not enrolled,1,11
8,female,low,public,academic,39,44,52,44,48,not enrolled,0,5
9,male,middle,public,vocation,48,49,52,44,51,not enrolled,0,7
10,female,middle,public,general,47,54,49,53,61,not enrolled,1,9
11,male,middle,public,academic,34,46,45,39,36,not enrolled,0,2
12,male,middle,public,vocation,37,44,45,39,46,not enrolled,0,3
13,female,middle,public,vocation,47,46,39,47,61,not enrolled,0,5
14,male,high,public,academic,47,41,54,42,56,not enrolled,0,6
15,male,high,public,vocation,39,39,44,26,42,not enrolled,0,1
16,male,low,public,vocation,47,31,44,36,36,not enrolled,0,2
17,female,middle,public,academic,47,57,48,44,41,not enrolled,2,8
18,male,middle,public,vocation,50,33,49,44,36,not enrolled,0,4
19,female,low,public,general,28,46,43,44,51,not enrolled,0,2
20,male,high,public,academic,60,52,57,61,61,not enrolled,1,14
21,male,middle,public,general,44,44,61,50,46,not enrolled,0,8
22,male,middle,public,vocation,42,39,39,56,46,not enrolled,0,4
23,female,low,public,academic,65,65,64,58,71,enrolled,5,18
24,male,middle,public,academic,52,62,66,47,46,enrolled,3,14
25,female,middle,public,general,47,44,42,42,36,not enrolled,0,4
26,female,high,public,academic,60,59,62,61,51,not enrolled,2,17
27,male,middle,public,academic,53,61,61,57,56,enrolled,3,15
28,female,middle,public,general,39,53,54,50,41,not enrolled,1,7
29,male,low,public,general,52,44,49,55,41,not enrolled,0,9
30,female,high,public,academic,41,59,42,34,51,not enrolled,2,4
31,female,middle,private,general,55,59,52,42,56,not enrolled,2,10
32,female,high,public,vocation,50,67,66,66,56,enrolled,7,18
33,female,low,public,academic,57,65,72,54,56,enrolled,5,18
34,female,high,private,academic,73,61,57,55,66,enrolled,3,18
35,female,low,private,general,60,54,50,50,51,not enrolled,1,11
36,female,low,public,general,44,49,44,35,51,not enrolled,0,3
37,female,low,public,vocation,41,47,40,39,51,not enrolled,0,3
38,male,low,public,academic,45,57,50,31,56,not enrolled,2,6
39,female,high,public,academic,66,67,67,61,66,enrolled,7,19
40,male,low,public,general,42,41,43,50,41,not enrolled,0,4
41,male,middle,public,academic,50,40,45,55,56,not enrolled,0,7
42,female,middle,public,vocation,46,52,55,44,56,not enrolled,1,8
43,female,low,public,academic,47,37,43,42,46,not enrolled,0,3
44,female,low,public,vocation,47,62,45,34,46,enrolled,3,6
45,female,low,public,vocation,34,35,41,29,26,not enrolled,0,1
46,female,low,public,academic,45,55,44,34,41,not enrolled,2,5
47,female,low,public,academic,47,46,49,33,41,not enrolled,0,4
48,male,middle,public,academic,57,55,52,50,51,not enrolled,2,11
49,male,high,public,vocation,50,40,39,49,47,not enrolled,0,5
50,male,middle,public,general,50,59,42,53,61,not enrolled,2,9
51,female,high,public,general,42,36,42,31,39,not enrolled,0,1
52,female,low,public,academic,50,46,53,53,66,not enrolled,0,9
53,male,middle,public,vocation,34,37,46,39,31,not enrolled,0,1
54,female,low,private,general,47,54,46,50,56,not enrolled,1,8
55,female,middle,private,academic,52,49,49,44,61,not enrolled,0,7
56,male,middle,public,vocation,55,45,46,58,51,not enrolled,0,9
57,female,middle,public,academic,71,65,72,66,56,enrolled,5,20
58,male,middle,public,vocation,55,41,40,44,41,not enrolled,0,5
59,female,middle,public,academic,65,67,63,55,71,enrolled,7,18
60,male,middle,public,academic,57,65,51,63,61,enrolled,5,16
61,female,high,public,academic,76,63,60,67,66,enrolled,4,20
62,male,high,public,general,65,65,48,63,66,enrolled,5,16
63,female,low,public,general,52,65,60,56,51,enrolled,5,15
64,female,high,public,vocation,50,52,45,58,36,not enrolled,1,10
65,female,middle,public,academic,55,54,66,42,56,not enrolled,1,12
66,female,middle,public,vocation,68,62,56,50,51,enrolled,3,16
67,male,low,public,vocation,37,37,42,33,32,not enrolled,0,1
68,male,middle,public,academic,73,67,71,63,66,enrolled,7,20
69,female,low,public,vocation,44,44,40,40,31,not enrolled,0,3
70,male,low,public,general,57,52,41,47,57,not enrolled,1,8
71,female,middle,public,general,57,62,56,58,66,enrolled,3,15
72,female,middle,public,vocation,42,54,47,47,46,not enrolled,1,6
73,female,middle,public,academic,50,52,53,39,56,not enrolled,1,7
74,female,middle,public,academic,57,50,50,51,58,not enrolled,1,10
75,male,middle,public,vocation,60,46,51,53,61,not enrolled,0,10
76,male,high,public,academic,47,52,51,50,56,not enrolled,1,9
77,female,low,public,academic,61,59,49,44,66,not enrolled,2,11
78,female,middle,public,academic,39,54,54,53,41,not enrolled,1,9
79,female,middle,public,academic,60,62,49,50,51,enrolled,3,12
80,male,high,public,academic,65,62,68,66,66,enrolled,3,19
81,male,low,public,academic,63,43,59,65,44,not enrolled,0,14
82,female,high,public,academic,68,62,65,69,61,enrolled,3,20
83,female,middle,public,vocation,50,62,41,55,31,enrolled,3,10
84,male,middle,public,general,63,57,54,58,51,not enrolled,2,15
85,male,middle,public,general,55,39,57,53,46,not enrolled,0,9
86,male,high,public,general,44,33,54,58,31,not enrolled,0,6
87,female,middle,public,general,50,52,46,50,56,not enrolled,1,8
88,female,high,public,academic,68,60,64,69,66,enrolled,2,19
89,female,low,public,vocation,35,35,40,51,33,not enrolled,0,2
90,female,high,public,academic,42,54,50,50,52,not enrolled,1,8
91,female,high,public,vocation,50,49,56,47,46,not enrolled,0,9
92,female,high,public,general,52,67,57,63,61,enrolled,7,16
93,female,high,public,academic,73,67,62,58,66,enrolled,7,19
94,male,high,public,academic,55,49,61,61,56,not enrolled,0,14
95,male,high,public,academic,73,60,71,61,71,enrolled,2,20
96,female,high,public,academic,65,54,61,58,56,not enrolled,1,16
97,male,high,public,academic,60,54,58,58,61,not enrolled,1,14
98,female,low,public,vocation,57,60,51,53,37,enrolled,2,12
99,female,high,public,general,47,59,56,66,61,not enrolled,2,14
100,female,high,public,academic,63,65,71,69,71,enrolled,5,20
101,female,high,public,academic,60,62,67,50,56,enrolled,3,16
102,male,high,public,academic,52,41,51,53,56,not enrolled,0,8
103,male,high,public,academic,76,52,64,64,61,not enrolled,1,19
104,male,high,public,academic,54,63,57,55,46,enrolled,4,14
105,female,middle,public,academic,50,41,45,44,56,not enrolled,0,5
106,female,middle,public,vocation,36,44,37,42,41,not enrolled,0,2
107,male,low,public,vocation,47,39,47,42,26,not enrolled,0,4
108,male,middle,public,general,34,33,41,36,36,not enrolled,0,1
109,female,middle,public,general,42,39,42,42,41,not enrolled,0,2
110,female,middle,public,vocation,52,55,50,54,61,not enrolled,2,11
111,female,low,public,general,39,54,39,47,36,not enrolled,1,5
